Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
Osaka Protocol,0.615,-0.1,-2.8,34.2,27.6,40351.0,761500000000000.0,762000000000000.0,33511484.0,1.8351917808235527e-08,-1.45
Osmosis,0.615,-0.4,-2.2,-4.5,156.3,17174602.0,628638059.0,120000000.0,387368849.0,1.5876341156177998e-09,-1.3
PAAL AI,0.16,-7.6,-5.1,1.9,21.5,6443727.0,650945444.0,1000000000.0,98370357.0,1.6265062451689588e-09,-6.35
PAX Gold,1976.3,-0.1,-0.3,-3.5,0.7,13032976.0,232987.0,233000.0,460404147.0,4.292533012305817e-06,-0.2
PLAYA3ULL GAMES,0.01,-0.8,19.1,-3.5,1138.6,2794081.0,6727850516.0,120000000.0,42866355.0,2.3328318911183373e-10,9.15
PancakeSwap,2.36,0.4,-9.1,-11.6,105.5,218610934.0,234093308.0,390000000.0,551222280.0,4.281394431299112e-09,-4.35
Pax Dollar,1.0,0.1,0.0,0.0,-0.1,3387487.0,448212766.0,448000000.0,447356828.0,2.235352044296952e-09,0.05
PayPal USD,1.0,0.0,-0.3,0.0,21.5,5807767.0,157956966.0,158000000.0,157679587.0,6.34197500783662e-09,-0.15
Pendle,1.07,0.2,1.3,-1.7,21.5,22796340.0,96950723.0,258000000.0,98370357.0,1.0877260514567412e-08,0.75
Pepe,0.615,0.2,-2.7,-9.5,45.3,79609116.0,420690000000000.0,421000000000000.0,454089716.0,1.354357912831481e-09,-1.25
Perpetual Protocol,0.59,0.5,-2.8,-10.0,8.4,5844715.0,72609864.0,150000000.0,42865230.0,1.3764069386773381e-08,-1.15
Persistence,0.27,0.0,2.0,2.1,67.5,338899.0,187724576.0,193000000.0,51181991.0,5.275293022500825e-09,1.0
Phoenix,0.76,1.1,-2.2,4.9,29.9,8098099.0,46071392.0,46.1,34888295.0,2.178381030084732e-08,-0.55
PlayDapp,0.2,0.4,-3.4,-9.9,10.7,5746712.0,569265030.0,700000000.0,110986735.0,1.802017150968537e-09,-1.5
Pocket Network,0.07,0.4,0.5,28.4,192.2,1324721.0,1548744251.0,1.64,108214046.0,6.468661193945193e-10,0.45
Polkadot,5.09,0.2,-1.6,-3.5,26.4,271357711.0,1299550655.0,1.38,6613672178.0,7.696178254694256e-10,-0.7000000000000001
Polkastarter,0.36,0.8,-1.6,1.4,26.3,1951303.0,99351432.0,120000000.0,98370357.0,3.659639051630157e-09,-0.4
Polygon,0.76,0.5,-1.6,-15.7,25.1,711370306.0,9275380957.0,10000000000.0,7042683031.0,1.0791341831723564e-10,-0.55
Polygon Ecosystem Token,0.76,-0.2,-1.6,-16.2,21.5,273366.0,67101328.0,10000000000.0,98370357.0,7.725904664552555e-09,-0.9
Polymath,0.19,3.4,-10.8,-28.2,0.6,2235168.0,898550830.0,1000000000.0,98370357.0,1.9314761661381387e-09,-3.7
Polymesh,0.19,0.7,-5.1,-9.2,9.3,14292372.0,354412760.0,879000000.0,166411884.0,1.141745381597867e-09,-2.1999999999999997
Power Ledger,0.26,-2.3,-5.7,6.2,12.4,16928760.0,429712892.0,1000000000.0,113774978.0,2.2852124831876477e-09,-4.0
Prisma mkUSD,0.99,0.0,-0.1,-0.5,-0.2,5310596.0,167504005.0,167000000.0,166046484.0,5.962185865977144e-09,-0.05
Prom,4.28,-0.2,-1.8,-3.4,0.4,1864231.0,18250000.0,19.3,78204417.0,5.4728366557607615e-08,-1.0
Pundi X,0.615,-2.4,-1.5,-5.9,22.2,11670163.0,258422692.0,258000000.0,126590773.0,4.85817398397591e-09,-1.95
Pyth Network,0.42,5.4,-1.6,-3.5,21.5,182645148.0,1500000000.0,10000000000.0,624040526.0,6.730332125897862e-10,1.9000000000000001
QANplatform,0.03,0.8,-8.0,7.6,25.7,472486.0,2267255629.0,3.33,60079586.0,4.993376618806927e-10,-3.6
Qtum,2.99,0.2,-3.1,-5.7,26.0,5746712.0,104915108.0,108000000.0,313798983.0,9.528392894759638e-09,-1.45
Quant,98.04,0.0,-1.6,-4.7,5.5,31347588.0,354412760.0,14.6,1426103888.0,6.874674476730688e-08,-0.8
QuarkChain,0.01,-0.8,-4.4,-14.7,21.5,1614258.0,6921608235.0,10000000000.0,74127522.0,1.3490266138938248e-10,-2.6
