iso,country,continent,2040,2041,2042,2043,2044
LBR,Liberia,Africa,14.97,15.66,15.24,15.22,15.29
SLV,El Salvador,North America,12.88,13.73,12.40,13.55,14.26
KGZ,Kyrgyzstan,Asia,14.85,13.66,12.89,14.15,14.24
MRT,Mauritania,Africa,12.55,13.10,13.49,13.94,13.97
SUR,Suriname,South America,13.01,13.59,13.56,13.67,13.85
MDA,Moldova,Europe,13.47,13.65,13.18,14.08,12.51
GNQ,Equatorial Guinea,Unknown,13.31,12.71,12.76,12.11,11.97
HTI,Haiti,North America,12.14,12.09,11.86,11.94,11.97
BRN,Brunei,Asia,10.10,9.90,12.32,12.32,11.70
LVA,Latvia,Europe,12.34,12.19,11.55,11.72,11.07
ARM,Armenia,Europe,9.49,9.52,10.09,10.64,10.89
TGO,Togo,Unknown,8.84,9.23,10.02,10.20,10.87
MKD,North Macedonia,Europe,10.01,10.90,9.75,9.71,10.45
SLE,Sierra Leone,Africa,10.29,9.26,9.39,10.44,10.20
RWA,Rwanda,Africa,8.71,8.89,9.07,9.19,9.55
JAM,Jamaica,North America,10.39,10.18,7.61,8.22,9.29
CRI,Costa Rica,North America,8.41,8.39,7.08,8.31,8.66
CYP,Cyprus,Europe,8.31,8.30,7.88,8.00,8.02
BDI,Burundi,Unknown,7.60,7.25,7.19,7.64,7.84
ALB,Albania,Europe,9.43,8.95,8.35,8.55,7.79
LUX,Luxembourg,Europe,10.03,10.21,8.54,8.89,7.75
ERI,Eritrea,Africa,6.78,6.85,6.89,6.96,7.05
MUS,Mauritius,Africa,6.72,6.82,6.41,6.71,6.81
BLZ,Belize,North America,6.68,6.89,6.87,6.77,6.73
TLS,East Timor,Asia,6.51,6.54,6.17,6.16,6.25
GNB,Guinea-Bissau,Africa,4.12,4.21,4.23,4.05,4.18
LSO,Lesotho,Africa,3.97,3.86,3.38,4.68,4.04
MNE,Montenegro,Europe,3.78,3.85,3.78,3.80,3.89
BRB,Barbados,North America,4.00,3.97,3.81,3.76,3.83
ISL,Iceland,Europe,3.53,3.47,3.27,3.38,3.42
SWZ,Eswatini,Africa,3.01,3.19,2.97,3.04,3.12
BHS,Bahamas,North America,2.85,2.95,2.47,2.93,3.04
GMB,Gambia,Africa,2.67,2.83,2.82,2.69,2.83
MDV,Maldives,Asia,2.22,2.47,2.26,2.58,2.53
GRD,Grenada,North America,2.37,2.41,2.37,2.41,2.43
MLT,Malta,Europe,2.04,2.14,2.08,2.07,2.23
DJI,Djibouti,Africa,1.45,1.52,1.44,1.52,1.60
ATG,Antigua and Barbuda,North America,1.29,1.34,1.34,1.42,1.50
SYC,Seychelles,Africa,0.76,0.76,0.77,0.78,0.83
LCA,Saint Lucia,North America,0.72,0.72,0.70,0.74,0.77
BTN,Bhutan,Asia,1.10,0.96,0.59,0.84,0.75
COM,Comoros,Africa,0.48,0.51,0.57,0.70,0.73
CPV,Cabo Verde,Africa,0.67,0.74,0.63,0.66,0.70
VUT,Vanuatu,Asia,0.64,0.63,0.68,0.69,0.69
WSM,Samoa,Asia,0.68,0.68,0.64,0.68,0.66
AND,Andorra,Europe,0.62,0.62,0.51,0.54,0.55
STP,São Tomé and Principe,Africa,0.40,0.40,0.40,0.40,0.41
KNA,Saint Kitts and Nevis,North America,0.35,0.35,0.34,0.34,0.36
VCT,Saint Vincent and the Grenadines,North America,0.33,0.31,0.33,0.33,0.34
TON,Tonga,Asia,0.28,0.31,0.34,0.34,0.34
PLW,Palau,Asia,0.24,0.25,0.25,0.25,0.24
DMA,Dominica,North America,0.22,0.23,0.21,0.22,0.22
MHL,Marshall Islands,Asia,0.20,0.20,0.20,0.20,0.20
FSM,Micronesia,Asia,0.19,0.20,0.20,0.20,0.19
LIE,Liechtenstein,Europe,0.18,0.18,0.18,0.18,0.19
KIR,Kiribati,Asia,0.10,0.11,0.10,0.11,0.10
COK,Cook Islands,Asia,0.09,0.09,0.08,0.08,0.08
NRU,Nauru,Asia,0.06,0.06,0.06,0.06,0.06
TUV,Tuvalu,Asia,0.02,0.02,0.02,0.02,0.02
NIU,Niue,Asia,0.01,0.01,0.01,0.01,0.01
FJI,Fiji,Asia,-0.49,-0.37,-0.81,-0.79,-0.79
